clip_id,meeting_date,title,status,error,output_dir,updated_at
169,2022-12-07,Planning Commission,downloading,,,2026-03-17T13:18:18.270033
170,2022-12-14,Board of Supervisors,downloading,,,2026-03-17T13:21:19.877196
171,2023-01-04,Planning Commission,downloading,,,2026-03-17T14:21:46.195417
172,2023-01-11,Board of Supervisors,pending,,,2026-03-17T15:40:19.071892
173,2023-01-18,Planning Commission,downloading,,,2026-03-17T14:52:20.388379
174,2023-01-25,Board of Supervisors,downloading,,,2026-03-17T14:53:57.662839
175,2023-02-08,Board of Supervisors,downloading,,,2026-03-17T15:24:07.231004
176,2023-02-15,Planning Commission,downloading,,,2026-03-17T15:32:54.367105
177,2023-02-22,Board of Supervisors,pending,,,2026-03-17T16:43:17.021191
178,2023-03-01,Planning Commission,downloading,,,2026-03-17T15:55:45.354477
179,2023-03-08,Board of Supervisors,downloading,,,2026-03-17T16:13:23.771809
180,2023-03-22,Board of Supervisors,downloading,,,2026-03-17T16:26:53.984243
181,2023-04-05,Planning Commission,downloading,,,2026-03-17T16:43:17.051349
182,2023-04-12,Board of Supervisors,downloading,,,2026-03-17T17:03:12.298399
183,2023-04-19,Board of Supervisors,downloading,,,2026-03-17T17:21:00.154254
184,2023-04-19,Planning Commission,downloading,,,2026-03-17T17:53:06.989420
185,2023-04-26,Board of Supervisors,downloading,,,2026-03-17T18:13:31.160650
186,2023-05-10,Board of Supervisors,downloading,,,2026-03-17T18:57:05.014474
187,2023-05-15,Board of Supervisors,downloading,,,2026-03-17T19:23:26.133609
188,2023-05-17,Planning Commission,downloading,,,2026-03-17T19:54:53.623723
189,2023-05-24,Board of Supervisors,downloading,,,2026-03-17T20:04:56.068366
190,2023-06-14,Board of Supervisors,downloading,,,2026-03-17T20:09:34.226305
191,2023-07-05,Planning Commission,downloading,,,2026-03-17T20:40:42.951324
192,2023-07-12,Board of Supervisors,downloading,,,2026-03-17T21:12:54.613913
193,2023-07-19,Planning Commission,downloading,,,2026-03-17T21:20:48.085117
194,2023-08-09,Board of Supervisors,downloading,,,2026-03-17T22:01:23.462460
195,2023-08-16,Planning Commission,downloading,,,2026-03-17T22:21:54.770949
196,2023-09-06,Planning Commission,pending,,,2026-03-17T22:35:08.118198
197,2023-09-20,Planning Commission,downloading,,,2026-03-17T22:35:08.122368
198,2023-09-27,Board of Supervisors,downloading,,,2026-03-17T22:39:49.011892
199,2023-10-04,Planning Commission,downloading,,,2026-03-17T23:14:39.358856
200,2023-10-11,Board of Supervisors,downloading,,,2026-03-18T00:57:12.746488
201,2023-10-25,Board of Supervisors,pending,,,2026-03-18T06:00:06.416168
202,2023-11-01,Planning Commission,downloading,,,2026-03-18T02:22:35.222485
203,2023-11-08,Board of Supervisors,downloading,,,2026-03-18T02:54:33.186771
204,2023-12-06,Planning Commission,downloading,,,2026-03-18T03:34:33.965742
205,2023-12-13,Board of Supervisors,pending,,,2026-03-18T06:28:37.442561
206,2024-01-03,Planning Commission,pending,,,2026-03-18T06:28:57.284876
207,2024-01-10,Board of Supervisors,downloading,,,2026-03-18T06:00:06.495128
208,2024-01-24,Board of Supervisors,downloading,,,2026-03-18T06:28:37.508822
209,2024-02-07,Board of Supervisors - School Board Joint Session,downloading,,,2026-03-18T06:28:57.376005
212,2024-02-14,Board of Supervisors,downloading,,,2026-03-18T07:24:45.198032
213,2024-02-21,Planning Commission,downloading,,,2026-03-18T07:37:12.212439
214,2024-02-28,Board of Supervisors,downloading,,,2026-03-18T08:20:37.260144
215,2024-03-06,Planning Commission,downloading,,,2026-03-18T08:43:46.157797
